rank,token,count
1270,someone's,1288
1271,lightning,1286
1272,cryin,1286
1273,rollin,1282
1274,course,1281
1275,victim,1280
1276,shoulder,1278
1277,secrets,1277
1278,emotion,1273
1279,waves,1270
1280,dee,1265
1281,folks,1265
1282,problems,1262
1283,seeing,1261
1284,reasons,1255
1285,god's,1254
1286,test,1253
1287,sees,1251
1288,hee,1250
1289,mountains,1247
1290,grows,1244
1291,park,1244
1292,waited,1243
1293,guns,1242
1294,givin,1241
1295,quit,1241
1296,shines,1240
1297,doors,1239
1298,reaching,1236
1299,re,1234
1300,shy,1234
1301,likes,1232
1302,drunk,1230
1303,she'd,1228
1304,solo,1227
1305,store,1226
1306,whoo,1225
1307,saved,1224
1308,deny,1224
1309,shore,1222
1310,eight,1222
1311,flames,1221
1312,killed,1221
1313,teeth,1219
1314,grown,1219
1315,ease,1214
1316,seat,1214
1317,forgotten,1212
1318,wow,1203
1319,bow,1202
1320,pocket,1201
1321,faster,1201
1322,shouldn't,1199
1323,table,1197
1324,seek,1195
1325,guilty,1195
1326,older,1194
1327,forgive,1193
1328,art,1193
1329,taught,1192
1330,tide,1192
1331,island,1191
1332,bottle,1191
1333,neck,1188
1334,bottom,1188
1335,tied,1183
1336,shows,1182
1337,supposed,1182
1338,sold,1181
1339,meaning,1181
1340,wrote,1180
1341,pulled,1180
1342,walks,1179
1343,plays,1178
1344,certain,1177
1345,plain,1177
1346,yellow,1177
1347,innocent,1176
1348,answers,1175
1349,church,1172
1350,rainbow,1170
1351,joe,1170
1352,winds,1166
1353,finger,1166
1354,questions,1165
1355,wet,1164
1356,lifetime,1164
1357,police,1163
1358,murder,1162
1359,kisses,1161
1360,nature,1161
1361,drag,1161
1362,dope,1160
1363,written,1158
1364,bodies,1156
1365,wash,1155
1366,affair,1155
1367,desert,1153
1368,nothing's,1152
1369,fallen,1151
1370,world's,1151
1371,bell,1150
1372,zone,1149
1373,thinks,1149
1374,bleed,1149
1375,chill,1149
1376,company,1149
1377,touched,1148
1378,vain,1147
1379,closed,1146
1380,wire,1145
1381,pressure,1144
1382,don,1143
1383,beginning,1143
1384,mister,1142
1385,baby's,1142
1386,movie,1142
