rank,token,count
1501,circle,588
1502,cost,588
1503,rivers,587
1504,box,587
1505,learning,587
1506,listening,587
1507,grab,587
1508,drivin,585
1509,drag,585
1510,heartache,584
1511,happening,582
1512,preacher,582
1513,stories,581
1514,confusion,579
1515,shy,579
1516,sha,578
1517,dogs,578
1518,shouldn't,577
1519,class,577
1520,uncle,576
1521,screaming,576
1522,lotta,576
1523,able,576
1524,grand,574
1525,gently,574
1526,knee,574
1527,seek,573
1528,suit,572
1529,dreamin,571
1530,harm,571
1531,understanding,571
1532,promises,570
1533,guns,570
1534,wee,569
1535,happens,569
1536,worse,568
1537,roller,568
1538,brave,568
1539,hopes,567
1540,pop,567
1541,heavenly,566
1542,youth,566
1543,searchin,565
1544,gate,565
1545,gas,565
1546,killed,564
1547,finger,562
1548,jones,561
1549,tongue,560
1550,breathe,560
1551,breaks,560
1552,person,560
1553,gather,560
1554,sexy,560
1555,lee,559
1556,lied,559
1557,nor,559
1558,settle,559
1559,troubled,559
1560,pie,559
1561,ole,558
1562,edge,558
1563,warning,558
1564,starting,558
1565,named,558
1566,pictures,557
1567,southern,555
1568,shaking,554
1569,turnin,554
1570,squeeze,553
1571,weren't,553
1572,oughta,553
1573,thirty,551
1574,record,551
1575,babies,551
1576,bitter,551
1577,angry,551
1578,picked,550
1579,drinkin,550
1580,gon,549
1581,endless,547
1582,battle,547
1583,san,546
1584,torn,546
1585,wearing,546
1586,shit,545
1587,questions,545
1588,difference,545
1589,except,545
1590,signs,545
1591,coat,545
1592,whistle,544
1593,kingdom,543
1594,daylight,543
1595,ghost,543
1596,souls,543
1597,names,542
1598,sunrise,542
1599,cha,542
1600,ee,541
1601,answers,541
1602,greatest,540
1603,o'clock,540
1604,ringing,539
1605,chicken,538
1606,final,537
1607,fallen,537
1608,ourselves,536
1609,planned,535
1610,stream,535
1611,holds,535
1612,prison,535
1613,bein,534
1614,orleans,533
1615,gay,531
1616,rode,531
1617,enjoy,531
1618,gal,530
1619,steady,529
1620,force,529
1621,james,529
1622,vision,528
1623,noise,528
1624,talked,527
1625,apple,526
1626,boots,526
1627,problem,525
1628,faster,525
1629,holdin,525
1630,escape,524
1631,railroad,523
1632,instrumental,523
1633,danced,522
1634,remain,521
1635,fix,519
1636,sunlight,519
1637,seasons,519
1638,bee,517
1639,led,517
1640,crossed,517
1641,where's,517
1642,beach,516
1643,slide,515
1644,lyin,515
1645,holiday,515
1646,lately,514
1647,decide,514
1648,lets,514
1649,shared,514
1650,reggae,513
1651,underneath,513
1652,roads,513
1653,hop,512
1654,shade,511
1655,journey,511
1656,windows,511
1657,cotton,511
1658,imagine,511
1659,note,510
1660,waits,510
1661,worried,509
1662,pillow,509
1663,simply,508
1664,candle,508
1665,drift,507
1666,alley,507
1667,passion,507
1668,painted,507
1669,string,506
1670,disguise,506
1671,swim,505
1672,mexico,504
1673,heart's,503
1674,loser,502
1675,dew,501
1676,cheap,500
1677,rocks,500
1678,ding,499
1679,building,498
1680,madness,498
1681,police,497
1682,flew,497
1683,mississippi,495
1684,restless,495
1685,aren't,495
1686,exactly,495
1687,forest,494
1688,bars,494
1689,disappear,494
1690,main,492
1691,blowin,492
1692,mood,492
1693,diamonds,492
1694,forgot,491
1695,marry,490
1696,ta,490
1697,sweat,489
1698,horses,488
1699,truck,488
1700,teeth,487
1701,boss,487
1702,dirt,486
1703,dumb,486
1704,couple,486
1705,slave,486
1706,stoned,486
1707,wisdom,486
1708,st,486
1709,weep,485
1710,ashamed,485
1711,agree,484
1712,wop,483
1713,shinin,483
1714,farm,483
1715,joke,483
1716,became,483
1717,colors,482
1718,path,482
1719,sake,481
1720,field,480
1721,sixteen,479
1722,spot,479
1723,offer,478
1724,moments,477
1725,history,477
1726,refuse,476
1727,wasting,475
1728,sunset,475
1729,dancer,475
1730,meat,475
1731,fail,474
1732,bump,473
1733,cure,472
